timestamp,evento,clase,confianza
2025-06-21 21:12:42,Persona detectada,person,0.86
2025-06-21 21:12:42,Captura guardada,person,0.86
2025-06-21 21:12:42,Persona detectada,person,0.87
2025-06-21 21:12:42,Captura guardada,person,0.87
2025-06-21 21:12:42,Persona detectada,person,0.86
2025-06-21 21:12:42,Captura guardada,person,0.86
2025-06-21 21:12:42,Persona detectada,person,0.87
2025-06-21 21:12:42,Captura guardada,person,0.87
2025-06-21 21:12:42,Persona detectada,person,0.87
2025-06-21 21:12:42,Captura guardada,person,0.87
2025-06-21 21:12:42,Persona detectada,person,0.87
2025-06-21 21:12:42,Captura guardada,person,0.87
2025-06-21 21:12:42,Persona detectada,person,0.88
2025-06-21 21:12:42,Captura guardada,person,0.88
2025-06-21 21:12:42,Persona detectada,person,0.88
2025-06-21 21:12:42,Captura guardada,person,0.88
2025-06-21 21:12:42,Persona detectada,person,0.86
2025-06-21 21:12:42,Captura guardada,person,0.86
2025-06-21 21:12:43,Persona detectada,person,0.89
2025-06-21 21:12:43,Captura guardada,person,0.89
2025-06-21 21:12:43,Persona detectada,person,0.88
2025-06-21 21:12:43,Captura guardada,person,0.88
2025-06-21 21:12:43,Persona detectada,person,0.88
2025-06-21 21:12:43,Captura guardada,person,0.88
2025-06-21 21:12:43,Persona detectada,person,0.87
2025-06-21 21:12:43,Captura guardada,person,0.87
2025-06-21 21:12:43,Persona detectada,person,0.88
2025-06-21 21:12:43,Captura guardada,person,0.88
2025-06-21 21:12:43,Persona detectada,person,0.86
2025-06-21 21:12:43,Captura guardada,person,0.86
2025-06-21 21:12:43,Persona detectada,person,0.86
2025-06-21 21:12:43,Captura guardada,person,0.86
2025-06-21 21:12:43,Persona detectada,person,0.89
2025-06-21 21:12:43,Captura guardada,person,0.89
2025-06-21 21:12:43,Persona detectada,person,0.89
2025-06-21 21:12:43,Captura guardada,person,0.89
2025-06-21 21:12:43,Persona detectada,person,0.86
2025-06-21 21:12:43,Captura guardada,person,0.86
2025-06-21 21:12:43,Persona detectada,person,0.87
2025-06-21 21:12:43,Captura guardada,person,0.87
2025-06-21 21:12:43,Persona detectada,person,0.88
2025-06-21 21:12:43,Captura guardada,person,0.88
2025-06-21 21:12:44,Persona detectada,person,0.88
2025-06-21 21:12:44,Captura guardada,person,0.88
2025-06-21 21:12:44,Persona detectada,person,0.89
2025-06-21 21:12:44,Captura guardada,person,0.89
2025-06-21 21:12:44,Persona detectada,person,0.88
2025-06-21 21:12:44,Captura guardada,person,0.88
2025-06-21 21:12:44,Persona detectada,person,0.87
2025-06-21 21:12:44,Captura guardada,person,0.87
2025-06-21 21:12:44,Persona detectada,person,0.87
2025-06-21 21:12:44,Captura guardada,person,0.87
2025-06-21 21:12:44,Persona detectada,person,0.85
2025-06-21 21:12:44,Captura guardada,person,0.85
2025-06-21 21:12:44,Persona detectada,person,0.86
2025-06-21 21:12:44,Captura guardada,person,0.86
2025-06-21 21:12:44,Persona detectada,person,0.86
2025-06-21 21:12:44,Captura guardada,person,0.86
2025-06-21 21:12:44,Persona detectada,person,0.86
2025-06-21 21:12:44,Captura guardada,person,0.86
2025-06-21 21:12:44,Persona detectada,person,0.83
2025-06-21 21:12:44,Captura guardada,person,0.83
2025-06-21 21:12:44,Persona detectada,person,0.82
2025-06-21 21:12:44,Captura guardada,person,0.82
2025-06-21 21:12:44,Persona detectada,person,0.83
2025-06-21 21:12:44,Captura guardada,person,0.83
2025-06-21 21:12:44,Persona detectada,person,0.80
2025-06-21 21:12:44,Captura guardada,person,0.80
2025-06-21 21:12:45,Persona detectada,person,0.83
2025-06-21 21:12:45,Captura guardada,person,0.83
2025-06-21 21:12:45,Persona detectada,person,0.80
2025-06-21 21:12:45,Captura guardada,person,0.80
2025-06-21 21:12:45,Persona detectada,person,0.74
2025-06-21 21:12:45,Captura guardada,person,0.74
2025-06-21 21:12:45,Persona detectada,person,0.84
2025-06-21 21:12:45,Captura guardada,person,0.84
2025-06-21 21:12:45,Persona detectada,person,0.86
2025-06-21 21:12:45,Captura guardada,person,0.86
2025-06-21 21:12:45,Persona detectada,person,0.87
2025-06-21 21:12:45,Captura guardada,person,0.87
2025-06-21 21:12:45,Persona detectada,person,0.83
2025-06-21 21:12:45,Captura guardada,person,0.83
2025-06-21 21:12:45,Persona detectada,person,0.83
2025-06-21 21:12:45,Captura guardada,person,0.83
2025-06-21 21:12:45,Persona detectada,person,0.73
